STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:305811,3.4,40.77944,-73.88028,20130216 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 08:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 09:00,0
COOP:305811,3.4,40.77944,-73.88028,20130216 10:00,0
COOP:305811,3.4,40.77944,-73.88028,20130219 13:00,1
COOP:305811,3.4,40.77944,-73.88028,20130219 14:00,4
COOP:305811,3.4,40.77944,-73.88028,20130219 15:00,2
COOP:305811,3.4,40.77944,-73.88028,20130219 16:00,2
COOP:305811,3.4,40.77944,-73.88028,20130219 17:00,1
COOP:305811,3.4,40.77944,-73.88028,20130219 18:00,3
COOP:305811,3.4,40.77944,-73.88028,20130219 19:00,3
COOP:305811,3.4,40.77944,-73.88028,20130219 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130219 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130219 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 03:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 08:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 09:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 10:00,1
COOP:305811,3.4,40.77944,-73.88028,20130223 11:00,1
COOP:305811,3.4,40.77944,-73.88028,20130223 12:00,3
COOP:305811,3.4,40.77944,-73.88028,20130223 13:00,1
COOP:305811,3.4,40.77944,-73.88028,20130223 14:00,2
COOP:305811,3.4,40.77944,-73.88028,20130223 15:00,8
COOP:305811,3.4,40.77944,-73.88028,20130223 16:00,4
COOP:305811,3.4,40.77944,-73.88028,20130223 17:00,3
COOP:305811,3.4,40.77944,-73.88028,20130223 18:00,3
COOP:305811,3.4,40.77944,-73.88028,20130223 19:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130223 23:00,1
COOP:305811,3.4,40.77944,-73.88028,20130224 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130224 01:00,1
COOP:305811,3.4,40.77944,-73.88028,20130224 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130224 03:00,1
COOP:305811,3.4,40.77944,-73.88028,20130224 04:00,1
COOP:305811,3.4,40.77944,-73.88028,20130224 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130224 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130224 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130226 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130226 21:00,1
COOP:305811,3.4,40.77944,-73.88028,20130226 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130226 23:00,7
COOP:305811,3.4,40.77944,-73.88028,20130227 00:00,4
COOP:305811,3.4,40.77944,-73.88028,20130227 01:00,13
COOP:305811,3.4,40.77944,-73.88028,20130227 02:00,11
COOP:305811,3.4,40.77944,-73.88028,20130227 03:00,6
COOP:305811,3.4,40.77944,-73.88028,20130227 04:00,12
COOP:305811,3.4,40.77944,-73.88028,20130227 05:00,9
COOP:305811,3.4,40.77944,-73.88028,20130227 06:00,19
COOP:305811,3.4,40.77944,-73.88028,20130227 07:00,15
COOP:305811,3.4,40.77944,-73.88028,20130227 08:00,9
COOP:305811,3.4,40.77944,-73.88028,20130227 09:00,9
COOP:305811,3.4,40.77944,-73.88028,20130227 10:00,4
COOP:305811,3.4,40.77944,-73.88028,20130227 11:00,2
COOP:305811,3.4,40.77944,-73.88028,20130227 12:00,2
COOP:305811,3.4,40.77944,-73.88028,20130227 13:00,0
COOP:305811,3.4,40.77944,-73.88028,20130227 14:00,0
COOP:305811,3.4,40.77944,-73.88028,20130228 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130228 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130228 07:00,0
COOP:305811,3.4,40.77944,-73.88028,20130228 08:00,0
COOP:305811,3.4,40.77944,-73.88028,20130228 09:00,0
COOP:305811,3.4,40.77944,-73.88028,20130301 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130302 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130302 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130302 22:00,0
COOP:305811,3.4,40.77944,-73.88028,20130302 23:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 02:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 03:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 04:00,0
COOP:305811,3.4,40.77944,-73.88028,20130303 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 12:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 13:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 16:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 17:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 19:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 20:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 21:00,0
COOP:305811,3.4,40.77944,-73.88028,20130306 23:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 00:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 01:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 02:00,1
COOP:305811,3.4,40.77944,-73.88028,20130307 03:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 04:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 05:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 06:00,0
COOP:305811,3.4,40.77944,-73.88028,20130307 07:00,0
